artist,country,year,country-guess,source,genres
#A9A9A9,,2019,,,
.DULCETT,,2019,,,
1 9 0 5 & Former City Records,,2020,,,
10 Foot Ballerina,,2016,,,
10 Rapid,,2007,,,
10cc,,1975,,,
13,,2001,,,
16 Bit Lolitas,,2012,,,
16 Bit Lolitas presents Bug Report,,2011,,,
16 Bit Lolitas presents Glowfield,,2012,,,
16BL,,2013,,,
16BL & Lucy Iris,,2012,,,
187 Lockdown,,2011,,,
2 Bit Thugs,,2011,,,
2 Good Souls,,2012,,,
2 The Rhythm,,2008,,,
2Pac,,2008,,,
2Pac Feat. Dr. Dre & Roger Troutman,,2013,,,
2XM,NZ,2023,NZ,https://musicbrainz.org/artist/0d067941-5934-41d0-8a23-27f3f7b672e0,"Breakbeat; House"
2raumwohnung,,2009,,,
30Hz,,2006,,,
30Hz & Baobinga,,2006,,,
33Hz,,2009,,,
4 Hero (Featuring Ursula Rucker),,,,,
4am Kru,,2024,,,
4th Measure Men,,1993,,,
601,,2010,,,
65daysofstatic,,2019,,,
68 Beats,,2007,,,
6amsunset,,2026,,,
79.5,,2024,,,
7th Wonder,,,,,
80kidz,,2008,,,
80xx,,2015,,,
96 Back,,2020,,,
9b0,,2011,,,
A Made Up Sound,,2010,,,
A Man Called Adam,,2009,,,
A Skillz,,2009,,,
A Studio ft. Polina,,2006,,,
A Taste Of Honey,,1978,,,
A Tribe Called Quest,,1998,,,
A Winged Victory For The Sullen,,2016,,,
A*S*Y*S & Dominik Schwarz,,2018,,,
A*S*Y*S & Kai Tracid,,2022,,,
A-Trak,,2021,,,
A.T.F.C pres. Onephatdeeva,,2006,,,
A/Jus/Ted,,2013,,,
A1 Bassline,,2012,,,
A1 People,,2006,,,
AB/DC,,2009,,,
AC Slater,,2009,,,
AC Slater & Xaphoon Jones,,2011,,,
ACiD FUTURE,,2012,,,
ADR,,2015,,,
AGC Esquire,,2014,,,
AGFC,NZ,2011,NZ,,
AK SPORTS,,2022,,,
ANNA,,2022,,,
ANNA & Miss Kittin,,2019,,,
ANNASASSIN,NZ,2025,NZ,,
AP3X,NZ,2010,NZ,,
AROHA & Tali,,2024,,,
ARTBAT,,2019,,,
ATFC presents OnePhatDeeva,,2000,,,
AYYBO,,2025,,,
AYYBO & ero808,,2022,,,
Aaradhna,NZ,2013,NZ,,
Aaren San,,2010,,,
Abby Lee,,2013,NZ,https://musicbrainz.org/artist/c7c5548f-422e-45c5-8fad-0b63767cb6f8,
Abe Duque & Blake Baxter,,2009,,,
Absis,,2024,,,
Academy of Ancient Music & Christopher Hogwood,,1994,,,
Academy of Ancient Music & Richard Egarr,,2009,,,
Achterbahn D'Amour,,2011,,,
Acid Jacks,,2008,,,
Acid Pauli,,2020,,,
Acid Police,NZ,2021,NZ,,Techno
Acidkids,,2009,,,
Acidliner,,2017,,,
Ackermann,,2025,,,
Act Yo Age,,2010,,,
Action Man,,2009,,,
Actraiser,,2012,,,
Actual,NZ,2024,NZ,,
Adala,,2025,,,
Adam Beyer & Bart Skils,,2018,,,
Adam Beyer & Ida Engberg,,2013,,,
Adam Beyer & Pig & Dan,,2023,,,
Adam Cooper,,2013,,,
Adam Freeland,,2007,,,
Adam K & Soha,,2007,,,
Adam Pits,,2021,,,
Adana Twins,,2017,,,
Addison Groove,,2020,,,
Adelphi Music Factory,,2025,,,
Aden,,2014,,,
Adnan Belushi,,2012,,,
Adonis,,1986,,,
Adrian Chandler & La Serenissima,,2014,,,
Adrian Lux,,2013,,,
Adrian Sherwood,,2025,,,
Adriatique,,2018,,,
Adrián Berenguer,,2026,,,
Adryiano,,2018,,,
Aeroplane feat Jamie Principle,,2012,,,
Africa Hitech,,2011,,,
Afrojack,,2009,,,
After 'Ours,,2016,,,
Agent Sasco (Assassin),,2020,,,
Agent X ft. Mutya & Ultra,,2009,,,
Agnes Obel,,2010,,,
Agoria,,2013,,,
Agrippa,,2019,,,
Ahllex,,2012,,,
Aimee Mann,,2006,,,
Air,,2000,,,
Aitor Ronda,,2017,,,
Akcept,,2022,NZ,https://musicbrainz.org/artist/10e39410-2441-4905-b310-c246cd5c4a72,
Akira Rabelais,,2001,,,
Akrobatik,,2000,,,
Al Wootton,,2022,,,
Alan Fitzpatrick,,2021,,,
Alan Partridge,,2007,,,
Alanis Morissette,,2004,,,
Alder String Quartet & Buell Neidlinger,,2019,,,
Aleksi Perälä,,2021,,,
Alessandro Cortini,,2023,,,
Alex Arnout,,2011,,,
Alex Falk,,2019,,,
Alex Gaudino & Jerma,,2006,,,
Alex Gopher,,2008,,,
Alex Manfuso,,2012,,,
Alex Metric,,2012,,,
Alex Ranerro & Matt McLarrie,,2018,,,
Alex Skolnick Trio,,2025,,,
Alex Smoke,,2007,,,
Alex Under,,2018,,,
Alex van Orton,,2020,,,
Alex.Do,,2017,,,
Alexander Briger & Academy of St Martin in the Fields,,2002,,,
Alexander Fog,,2011,,,
Alexander Robotnick,,2009,,,
Alexandre Guerra,,2024,,,
Alexkid,,2015,,,
Alfa Romero,,2012,,,
Alfred Czital,,2025,,,
Alfred Heinrichs,,2018,,,
Alfredo De La Fe,,2000,,,
Ali Berger,,2019,,,
Ali Love,,2013,,,
Ali Payami,NZ,2011,NZ,,
Alice Agnes,NZ,2022,NZ,,"House; Techno"
Alice Sara Ott,,2024,,,
Alien Radio (DE),,2025,,,
Alisandra & Vernandi,,2013,,,
Alison McGillivray & The English Concert,,2006,,,
Alix Alvarez & Franck Roger,,2010,,,
Alix Perez,,2021,,,
Alix Perez & Headland,,2023,,,
All Saints,,2008,,,
Alma Marter,,2020,,,
Almaty,,2018,,,
Aloka,,2023,,,
Alpha & Omega,,1995,,,
Alter Ego,,2008,,,
Altinbas,,2025,,,
Alva Noto,,2024,,,
Alva Noto & Ryuichi Sakamoto,,2002,,,
Alvaro Herrán,,2022,,,
Alzoc III,,2024,,,
Amadeus Quartet,,1993,,,
Amanda Blank,,2009,,,
Amandra,,2021,,,
Amb,NZ,2012,NZ,,
Ambivalent,,2007,,,
Amelie Lens,,2022,,,
Amez,NZ,2023,NZ,,
Amiina,,2013,,,
Amorphic & Tensal,,2024,,,
Amotik,,2024,,,
Amsterdam Loeki Stardust Quartet,,2009,,,
Amtrac,,2025,,,
An Avrin,,2023,,,
Anane,,2007,,,
AndWahn,NZ,2022,NZ,https://musicbrainz.org/artist/afed0526-3ae5-414f-ac30-804ddf02af7f,"Breakbeat; Techno"
Andre 3000 and John Legend,,2009,,,
Andre Bratten,,2019,,,
Andre Lodemann,,2017,,,
Andre Winter,,2014,,,
Andrea Belfi,,2018,,,
Andrea Casula,,2012,,,
Andrea Doria,,2007,,,
Andrea Oliva,,2014,,,
Andrea Parker,,2009,,,
Andreas Henneberg,,2020,,,
Andreas Henneberg & Simon,,2009,,,
Andrew Azara,,2025,,,
Andrew Azara & Elléot,,2020,,,
Andrew Clarke,,2012,,,
Andruss,,2023,,,
Andruss & Andres Dajer,,2022,,,
Andruss & Juos,,2025,,,
Andruss & Umberto Pagliaroli,,2022,,,
André Hommen,,2015,,,
Andwahn & Nuance,NZ,2022,NZ,,
Andy Caldwell,,2006,,,
Andy Chatterley,,2013,,,
"Andy Chatterley, Nic Fanciulli & Skylark",,2008,,,
Andy Crump,NZ,2009,NZ,,
Andy Malex 2.0,,2012,,,
Andy Stott,,2014,,,
Anfisa Letyago,,2023,,,
Angela Fisken,NZ,2012,NZ,,
Angelo Badalamenti,,1990,,,
Angry Suzy,,2026,,,
"Angry Suzy, Haszari",,2024,,,
Angus Green,,2012,,,
Anii,,2019,,,
Anika D,NZ,2025,NZ,,
"Anika D, Haszari",,2025,,,
Aniki,,2009,,,
Aniki & Bling Fingah,,2009,,,
Animal Jeans,,2013,,,
Anita Ward,,2005,,,
Anja Schneider,,2017,,,
Anja Schneider & Scuba,,2024,,,
"Anna Besson, Reinoud Van Mechelen, A Nocte Temporis & Clara Izambert",,2025,,,
Anna Phoebe,,2025,,,
Anna Ullrich,,2024,,,
"Anne-Sophie Mutter, Leslie Pearson, Salvatore Accardo & English Chamber Orchestra",,1983,,,
Anodyne Industries,NZ,2011,NZ,,
Anonym,,2012,,,
Anoraak,,2009,,,
Ansome,,2024,,,
Anthony Naples,,2025,,,
Anthony Newman,,1995,,,
Anthony Wolf,,2012,,,
Anti Up,,2018,,,
Antiform,NZ,2008,NZ,,
Antix,NZ,2010,NZ,,
Antoine Clamaran,,2008,,,
Antoine Clamaran pres. Discoland ft. Blue James,,2014,,,
Anton Batagov,,2018,,,
Antoni Wit & Polish National Radio Symphony Orchestra,,1994,,,
Anunaku,,2020,,,
Anunaku & Dj Plead,,2020,,,
Anz,,2023,,,
Aphex Twin,,2024,,,
Applescal,,2013,,,
Aquasky,,2005,,,
Aquasky & Elhornet,,2006,,,
Aquilaganja,,2011,,,
Aquilaganja & Steff Smith,,2009,,,
Aradia Ensemble & Kevin Mallon,,2005,,,
Archie Hamilton,,2018,,,
Archie Hamilton & N.O.H.A,,2018,,,
Ardalan,,2019,,,
Arent & Raxell,,2011,,,
Aril Brikha,,2011,,,
Arkist & Kidkut,,2011,,,
Arm In Arm,,2019,,,
Armand Van Helden,,2013,,,
Armand Van Helden & Roxy Cottontail & Lacole 'Tigga' Campbell,,2013,,,
Armand Van Helden (feat. Nicole Roux),,2008,,,
Armand Van Helden Feat. DJ Sneak,,1999,,,
Armand Van Helden Feat. Duane Harden,,1999,,,
Armand Van Helden Feat. Mi Madre,,1998,,,
Armand Van Helden ft. Nicole Roux,,2008,,,
"Armand Van Helden, Mark Knight & D.Ramirez",,2026,,,
Armand van Helden,,2000,,,
Armrug,,2006,,,
Arnaud Le Texier,,2022,,,
Arod Quartet,,2017,,,
Aroma Pitch,,2021,,,
Art Of Tones,,2019,,,
Art of Tones,,2019,,,
Arthur Beatrice,,2014,,,
Artificial Funk,,2005,,,
Arushi Jain,,2021,,,
Arveene & Misk,,2010,,,
Asadinho,,2016,,,
Asaviour & DJ IQ,,2011,,,
Ashique,,2007,,,
Ashtech,,2026,,,
Ashtre Jinkins,,2011,,,
Askel & Elere,,2025,,,
Asterisk Youth & Slow Sculpture,,2023,,,
Astrid Sonne,,2021,,,
AstroNivo,,2012,,,
Atish & Vridian,,2023,,,
Atjazz,,2018,,,
Atlaxsys & Ira Ange,,2018,,,
Atlaxsys & Main Leaf,,2018,,,
Atrice,,2021,,,
Atrice & SHALT,,2025,,,
Attack Release vs Robosapiens,,2009,,,
Au Revoir Simone,,2009,,,
Audio Bullys,,2009,,,
Audio Slingers ft. Lesley Williams,,2008,,,
Audiofly,,2011,,,
Audiojack,,2022,,,
Audiojack ft. Kevin Knapp,,2012,,,
Audion,,2006,,,
Audiostalkers,,2009,,,
